id,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
74,Alone in the Dark: Inferno,PS3,2008.0,Adventure,Atari,0.09,0.03,0.0,0.02,69.0,25.0,5.6,50.0,Eden Studios,M
78,SD Gundam G Generation Genesis,PS4,2016.0,Strategy,Namco Bandai Games,0.0,0.0,0.08,0.0,,,,,,
92,Polarium,DS,2004.0,Puzzle,Nintendo,0.13,0.01,0.11,0.01,73.0,34.0,8.4,17.0,Mitchell,E
95,Max & the Magic Marker,DS,2011.0,Platform,Unknown,0.0,0.04,0.0,0.0,,,,,,
99,Harvest Moon: Friends of Mineral Town,GBA,2003.0,Simulation,Ubisoft,0.34,0.13,0.11,0.01,81.0,25.0,9.6,116.0,TOSE,E
101,Robotron X,PS,1996.0,Shooter,GT Interactive,0.05,0.03,0.0,0.01,,,,,,
109,Spy Fiction,PS2,2003.0,Action,Sega,0.02,0.02,0.0,0.01,61.0,33.0,tbd,,Access Games,M
113,Cabela's Monster Buck Hunter,Wii,2010.0,Sports,Activision,0.57,0.0,0.0,0.03,,,tbd,,FUN Labs,T
116,Night at the Museum: Battle of the Smithsonian,DS,2009.0,Action,Majesco Entertainment,0.12,0.18,0.0,0.04,,,tbd,,Fizz Factor,E
118,NBA 2K16,PS3,2015.0,Sports,Take-Two Interactive,0.45,0.12,0.03,0.13,,,4.6,13.0,Visual Concepts,E
119,Samurai Shodown,SNES,1994.0,Fighting,Takara,0.0,0.0,0.4,0.0,,,,,,
122,Starwinder: The Ultimate Space Race,PS,1996.0,Racing,Mindscape,0.03,0.02,0.0,0.0,,,,,,
127,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,,,,,,
128,Tsurugi no Machi no Ihoujin: Kuro no Kyuuden,PSV,2015.0,Role-Playing,Experience Inc.,0.0,0.0,0.04,0.0,,,,,,
133,Bakumatsu Renka: Karyuu Kenshi-den,PS2,2007.0,Adventure,D3Publisher,0.0,0.0,0.02,0.0,,,,,,
143,Dragon Quest Builders: Revive Alefgard,PS3,2016.0,Role-Playing,Square Enix,0.0,0.0,0.12,0.0,,,,,,
145,NCAA March Madness 2005,XB,2004.0,Sports,Electronic Arts,0.21,0.06,0.0,0.01,80.0,18.0,7.8,4.0,EA Canada,E
154,Digimon World 4,XB,2005.0,Role-Playing,Atari,0.02,0.01,0.0,0.0,54.0,5.0,8.8,4.0,Bandai,E
166,Bubble Bobble Evolution,PSP,2006.0,Puzzle,Rising Star Games,0.03,0.0,0.0,0.0,47.0,5.0,tbd,,Opus,E
169,Driven,GBA,2001.0,Racing,BAM! Entertainment,0.02,0.01,0.0,0.0,68.0,10.0,tbd,,Crawfish Interactive,E
170,Pac-Pix,DS,2005.0,Puzzle,Namco Bandai Games,0.16,0.0,0.1,0.01,71.0,41.0,7.1,7.0,Namco,E
178,"Ed, Edd n Eddy: The Mis-Edventures",XB,2005.0,Platform,Midway Games,0.02,0.01,0.0,0.0,56.0,6.0,7.7,6.0,Artificial Mind and Movement,E
201,TimeSplitters 2,XB,2002.0,Shooter,Eidos Interactive,0.29,0.33,0.0,0.01,88.0,20.0,7.7,34.0,Free Radical Design,T
202,WWE All Stars,X360,2011.0,Fighting,THQ,0.18,0.14,0.0,0.03,75.0,64.0,7.2,45.0,THQ,T
206,Tennis no Oji-Sama: Driving Smash! Side King,DS,2008.0,Sports,Konami Digital Entertainment,0.0,0.0,0.02,0.0,,,,,,
207,Tomb Raider: Anniversary,X360,2007.0,Action,Eidos Interactive,0.12,0.22,0.0,0.05,77.0,33.0,8.3,39.0,Crystal Dynamics,T
213,TimeSplitters 2,PS2,2002.0,Shooter,Eidos Interactive,0.34,0.27,0.0,0.09,90.0,33.0,8.8,127.0,Free Radical Design,T
216,South Park Rally,PS,1998.0,Racing,Acclaim Entertainment,0.2,0.13,0.0,0.02,,,,,,
224,Mass Effect 3,X360,2012.0,Role-Playing,Electronic Arts,1.94,0.84,0.03,0.24,93.0,74.0,5.8,3725.0,BioWare,M
226,NBA 2K8,X360,2007.0,Sports,Take-Two Interactive,0.79,0.0,0.0,0.07,81.0,33.0,7,28.0,Visual Concepts,E
230,Racing Gears Advance,GBA,2004.0,Racing,Zoo Digital Publishing,0.04,0.02,0.0,0.0,83.0,17.0,8.9,9.0,"Orbital Media, Inc.",E
234,Mortal Kombat 4,N64,1998.0,Fighting,GT Interactive,0.55,0.17,0.0,0.01,,,,,,
237,Tales of the Abyss,PS2,2005.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.57,0.0,78.0,22.0,8.4,109.0,Namco,T
248,Bratz Kidz,DS,2008.0,Misc,Game Factory,0.03,0.0,0.0,0.0,,,tbd,,Neko Entertainment,E
251,My Little Baby,DS,2008.0,Simulation,CDV Software Entertainment,0.0,0.01,0.0,0.0,,,,,dtp Young Entertainment AG,E
252,MotoGP 14 ,PS4,2014.0,Racing,Milestone S.r.l.,0.04,0.11,0.0,0.03,73.0,28.0,6.4,26.0,Milestone S.r.l,E
253,NBA Live 07,PSP,2006.0,Sports,Electronic Arts,0.47,0.0,0.0,0.04,64.0,9.0,7.5,4.0,EA Sports,E
255,Battlefield 2: Modern Combat,PS2,2005.0,Shooter,Electronic Arts,0.37,0.01,0.0,0.06,80.0,42.0,8.5,65.0,Digital Illusions,T
257,The Tomb Raider Trilogy,PS3,2011.0,Action,Square Enix,0.27,0.46,0.0,0.15,78.0,37.0,8.1,60.0,Crystal Dynamics,T
264,Culdcept,PS2,2002.0,Strategy,Sega,0.01,0.01,0.0,0.0,78.0,26.0,8.9,9.0,NEC Interchannel,T
268,The Cheetah Girls: Pop Star Sensations,DS,2007.0,Misc,Disney Interactive Studios,0.1,0.0,0.0,0.01,,,tbd,,Handheld Games,E
270,Spy Hunter: Nowhere To Run,PS2,2006.0,Racing,Midway Games,0.01,0.01,0.0,0.0,51.0,21.0,6,6.0,Terminal Reality,T
273,Tennis no Oji-Sama: Motto Gakuensai no Ouji-Sama - More Sweet Edition,DS,2010.0,Sports,Konami Digital Entertainment,0.0,0.0,0.1,0.0,,,,,,
276,Forza Horizon 2,X360,2014.0,Racing,Microsoft Game Studios,0.35,0.37,0.0,0.06,,,5.1,116.0,"Sumo Digital, Playground Games",E10+
283,Dance Dance Revolution: Mario Mix,GC,2005.0,Misc,Nintendo,0.36,0.09,0.0,0.01,69.0,28.0,8.4,19.0,Hudson,E
287,Future Tactics: The Uprising,PS2,2004.0,Strategy,Crave Entertainment,0.03,0.03,0.0,0.01,61.0,25.0,6,6.0,Zed Two Limited,T
293,Tiny Toon Adventures: Wacky Stackers,GBA,2001.0,Puzzle,Conspiracy Entertainment,0.01,0.0,0.0,0.0,58.0,5.0,tbd,,Warthog,E
299,Portal 2,PS3,2011.0,Shooter,Valve,0.83,0.6,0.02,0.24,95.0,54.0,8.4,937.0,Valve Software,E10+
303,Bejeweled Twist,DS,2010.0,Puzzle,PopCap Games,0.0,0.08,0.0,0.01,77.0,10.0,tbd,,Griptonite Games,E
308,Sly Cooper and the Thievius Raccoonus,PS2,2002.0,Platform,Sony Computer Entertainment,1.03,0.14,0.0,0.04,86.0,41.0,8.6,184.0,Sucker Punch,E
310,One Piece: Grand Battle!,PS,2001.0,Fighting,Atari,0.0,0.0,0.46,0.03,,,,,,
311,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.14,2.47,0.63,78.0,70.0,7.2,424.0,Nintendo,E
315,Quantum Theory,PS3,2010.0,Shooter,Tecmo Koei,0.05,0.09,0.02,0.03,43.0,34.0,5.3,21.0,Tecmo,M
321,Kangaroo,2600,1982.0,Platform,Atari,0.67,0.04,0.0,0.01,,,,,,
322,BlazBlue: Continuum Shift,PS3,2010.0,Fighting,PQube,0.21,0.07,0.09,0.04,87.0,29.0,8,65.0,Arc System Works,T
326,Resonance of Fate,X360,2010.0,Role-Playing,Sega,0.12,0.13,0.06,0.03,74.0,43.0,7.7,96.0,Tri-Ace,T
331,American Chopper,XB,2004.0,Racing,Zoo Digital Publishing,0.11,0.03,0.0,0.01,44.0,6.0,5.9,9.0,Creat Studios,T
338,NBA Live 14,PS4,2013.0,Sports,Electronic Arts,0.15,0.05,0.0,0.04,43.0,25.0,2.7,175.0,EA Sports,E
345,Eternal Poison,PS2,2008.0,Role-Playing,Banpresto,0.07,0.05,0.0,0.02,65.0,11.0,8.2,9.0,Flight-Plan,T
352,SX Superstar,GC,2003.0,Racing,Acclaim Entertainment,0.03,0.01,0.0,0.0,,,,,,
356,MechWarrior 2: 31st Century Combat,PS,1997.0,Simulation,Activision,0.2,0.14,0.0,0.02,,,,,,
372,Otona no Renai Shousetsu: Harlequin Selection,DS,2010.0,Misc,Nintendo,0.0,0.0,0.02,0.0,,,,,,
373,FIFA World Cup Germany 2006,PS2,2006.0,Sports,Electronic Arts,0.47,0.02,0.0,0.08,77.0,28.0,8.1,33.0,EA Canada,E
376,Girls RPG: Cinderellife,3DS,2012.0,Role-Playing,Level 5,0.0,0.0,0.06,0.0,,,,,,
384,I Love Beauty: Hollywood Makeover,DS,2009.0,Misc,City Interactive,0.06,0.0,0.0,0.0,,,tbd,,City Interactive,E
390,Mafia II,X360,2010.0,Action,Take-Two Interactive,0.85,0.55,0.0,0.15,74.0,79.0,7.8,458.0,2K Czech,M
399,NFL GameDay 2002,PS2,2001.0,Sports,Sony Computer Entertainment,0.19,0.15,0.0,0.05,51.0,18.0,4.6,5.0,Red Zone Entertainment,E
405,Seisou no Amazones,3DS,2013.0,Role-Playing,Arc System Works,0.0,0.0,0.01,0.0,,,,,,
406,Root Letter,PSV,2016.0,Adventure,PQube,0.0,0.03,0.01,0.01,78.0,6.0,7.8,6.0,Kadokawa,M
411,My Pet Shop,DS,2008.0,Simulation,Square Enix,0.06,0.0,0.0,0.0,60.0,10.0,tbd,,Taito Corporation,E
414,Warriors Orochi 2,X360,2008.0,Action,Tecmo Koei,0.04,0.0,0.01,0.0,44.0,28.0,8.1,15.0,Omega Force,T
422,Inazuma Eleven 3,3DS,2013.0,Role-Playing,Nintendo,0.0,0.08,0.0,0.0,,,,,,
424,F/A-18F Super Hornet,GBA,2004.0,Simulation,Majesco Entertainment,0.2,0.08,0.0,0.01,,,,,,
427,High Velocity: Mountain Racing Challenge,SAT,1995.0,Racing,Atlus,0.0,0.0,0.12,0.0,,,,,,
436,Target: Terror,Wii,2008.0,Shooter,Konami Digital Entertainment,0.06,0.0,0.0,0.01,33.0,19.0,2.7,16.0,Leviathan Games,M
438,FIFA Street,PS2,2005.0,Sports,Electronic Arts,0.15,0.12,0.0,0.04,59.0,29.0,7.9,52.0,EA Canada,E
442,Teenage Zombies: Invasion of the Alien Brain Thingys,DS,2008.0,Adventure,Ignition Entertainment,0.03,0.0,0.0,0.0,67.0,30.0,8.2,29.0,InLight Entertainment,E10+
443,Yoostar2,PS3,2011.0,Misc,Unknown,0.04,0.04,0.0,0.02,54.0,15.0,tbd,,Blitz Games Studios,T
444,Discovery Kids: Dolphin Discovery,DS,2008.0,Simulation,505 Games,0.2,0.0,0.0,0.01,,,tbd,,505 Games,E
446,Virtua Fighter CG Portrait Series Vol.6: Lau Chan,SAT,1995.0,Misc,Sega,0.0,0.0,0.04,0.0,,,,,,
451,Naruto Shippuden: Legends: Akatsuki Rising,PSP,2009.0,Fighting,Namco Bandai Games,0.14,0.0,0.0,0.01,60.0,15.0,6.2,10.0,Racjin,T
456,MTV Music Generator 3: This Is the Remix,PS2,2004.0,Misc,Codemasters,0.07,0.05,0.0,0.02,79.0,28.0,8.6,8.0,Mix Max,T
459,Sentimental Graffiti,SAT,1998.0,Adventure,NEC Interchannel,0.0,0.0,0.25,0.0,,,,,,
460,The Simpsons: Hit & Run,PS2,2003.0,Racing,Vivendi Games,1.73,2.19,0.0,0.79,,,,,,
466,Cabbage Patch Kids: The Patch Puppy Rescue,GBA,2007.0,Misc,D3Publisher,0.01,0.0,0.0,0.0,,,,,,
473,NHL 2K6,PS2,2005.0,Sports,Take-Two Interactive,0.21,0.16,0.0,0.05,81.0,28.0,5.8,18.0,2K Sports,E10+
474,Assassin's Creed III,PC,2012.0,Action,Ubisoft,0.28,0.53,0.0,0.12,80.0,21.0,6.2,1489.0,Ubisoft,M
476,Smart Boy's Gameroom,DS,2007.0,Misc,505 Games,0.12,0.0,0.0,0.01,,,tbd,,Starfish SD,E
477,Championship Bass,PS,1999.0,Sports,Electronic Arts,0.18,0.12,0.0,0.02,,,,,,
482,Busy Scissors,Wii,2010.0,Simulation,Little Orbit,0.08,0.0,0.0,0.01,,,tbd,,Little Orbit,E
502,Super Dodge Ball Advance,GBA,2001.0,Sports,Ubisoft,0.14,0.05,0.0,0.0,79.0,11.0,tbd,,Atlus Co.,E
506,Intellivision Lives!,GC,2004.0,Misc,Crave Entertainment,0.05,0.01,0.0,0.0,,,,,,
510,Arslan: The Warriors of Legend,PS4,2015.0,Action,Tecmo Koei,0.03,0.01,0.04,0.01,69.0,43.0,6.6,23.0,Omega Force,T
513,Major League Baseball Featuring Ken Griffey Jr,N64,1998.0,Sports,Nintendo,0.75,0.03,0.0,0.01,,,,,,
517,Love Live! School Idol Paradise,PSV,2014.0,Misc,Kadokawa Games,0.0,0.0,0.12,0.0,,,,,,
524,Suzumiya Haruhi-Chan no Mahjong,PSP,2011.0,Misc,Kadokawa Shoten,0.0,0.0,0.02,0.0,,,,,,
538,Rogue Trip: Vacation 2012,PS,1998.0,Racing,GT Interactive,0.21,0.14,0.0,0.02,,,,,,
543,SolarStriker,GB,1989.0,Shooter,Nintendo,0.4,0.39,0.36,0.04,,,,,,
544,Nova Usagi no Game de Ryuugaku!? DS,DS,2007.0,Misc,Konami Digital Entertainment,0.0,0.0,0.01,0.0,,,,,,
547,Breath of Fire IV,PS,2000.0,Role-Playing,Capcom,0.11,0.08,0.34,0.04,83.0,10.0,8.9,45.0,Capcom,T
554,LEGO Star Wars III: The Clone Wars,3DS,2011.0,Action,LucasArts,0.61,0.43,0.0,0.09,67.0,25.0,6.1,31.0,Traveller's Tales,E10+
556,Darkspore,PC,2011.0,Role-Playing,Electronic Arts,0.07,0.03,0.0,0.01,65.0,52.0,6,133.0,Maxis,T
559,Capcom Fighting Evolution,XB,2005.0,Fighting,Capcom,0.03,0.01,0.0,0.0,61.0,20.0,tbd,,Capcom,T
568,FIFA Soccer 2002,PS2,2001.0,Sports,Electronic Arts,0.31,0.24,0.0,0.08,82.0,17.0,5.8,28.0,EA Sports,E
570,Tony Hawk's Pro Skater 5,PS3,2015.0,Sports,Activision,0.05,0.0,0.0,0.01,,,3.1,12.0,Robomodo,T
572,EVE: burst error,SAT,1997.0,Adventure,Imagineer,0.0,0.0,0.21,0.0,,,,,,
573,Flash Focus: Vision Training in Minutes a Day,DS,2007.0,Misc,Nintendo,0.86,1.56,1.05,0.35,59.0,22.0,4,4.0,"Nintendo, Namco Bandai Games",E
575,Gundam Breaker 3,PSV,2016.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,,,,,,
577,ESPN International Winter Sports 2002,GC,2002.0,Sports,Konami Digital Entertainment,0.04,0.01,0.0,0.0,62.0,6.0,tbd,,KCEO,E
578,The Mummy: Tomb of the Dragon Emperor,PS2,2008.0,Action,Vivendi Games,0.12,0.1,0.0,0.03,38.0,7.0,6.8,6.0,Eurocom Entertainment Software,T
590,Wii Play: Motion,Wii,2011.0,Misc,Nintendo,0.23,0.42,0.18,0.09,60.0,34.0,6.1,16.0,Nintendo,E10+
596,Tomb Raider: Anniversary,PC,2007.0,Action,Eidos Interactive,0.0,0.03,0.0,0.01,83.0,26.0,8.1,242.0,Nixxes Software,T
600,The Seven Deadly Sins: Unjust Sin,3DS,2015.0,Adventure,Namco Bandai Games,0.0,0.0,0.08,0.0,,,,,,
607,Pursuit Force: Extreme Justice,PSP,2007.0,Action,Sony Computer Entertainment,0.07,0.06,0.0,0.03,73.0,44.0,7.6,11.0,Bigbig Studios,T
608,Deathtrap Dungeon,PS,1998.0,Action,Eidos Interactive,0.19,0.13,0.0,0.02,,,,,,
614,Natsuiro High School: Seishun Hakusho,PS4,2015.0,Action,D3Publisher,0.0,0.0,0.02,0.0,,,,,,
624,Steins;Gate 0,PS3,2015.0,Adventure,5pb,0.0,0.0,0.03,0.0,,,,,,
642,My Weight Loss Coach,DS,2008.0,Sports,Ubisoft,0.3,0.54,0.0,0.11,63.0,4.0,7.6,7.0,Ubisoft Montreal,E
656,NBA Jam,PS2,2003.0,Sports,Acclaim Entertainment,0.2,0.16,0.0,0.05,,,,,,
658,Princess Maker: Yumemiru Yosei,PS,1997.0,Strategy,Sony Computer Entertainment,0.0,0.0,0.18,0.01,,,,,,
665,National Geographic Panda (JP sales),DS,2008.0,Simulation,Ubisoft,0.0,0.0,0.01,0.0,,,,,,
667,Kamen Rider: Battride War Genesis,PSV,2016.0,Action,Namco Bandai Games,0.0,0.0,0.05,0.0,,,,,,
671,The Walking Dead: Season Two,PS4,2014.0,Adventure,Telltale Games,0.1,0.09,0.01,0.04,,,,,,
676,DokuSui: DokiDoki Suikoden,PSP,2011.0,Role-Playing,Irem Software Engineering,0.0,0.0,0.01,0.0,,,,,,
684,Bomberman Max 2: Red Advance,GBA,2002.0,Puzzle,Vivendi Games,0.05,0.02,0.0,0.0,75.0,9.0,tbd,,Hudson,E
694,Beach Spikers: Virtua Beach Volleyball,GC,2002.0,Sports,Sega,0.08,0.02,0.0,0.0,76.0,31.0,8.1,9.0,Sega AM2,E
695,BioShock The Collection,XOne,2016.0,Shooter,Take-Two Interactive,0.08,0.06,0.0,0.01,84.0,16.0,8.3,79.0,2K Games,M
699,Reading Training,DS,2007.0,Misc,Benesse,0.0,0.0,0.08,0.0,,,,,,
704,Hitman: Blood Money,XB,2006.0,Action,Eidos Interactive,0.11,0.03,0.0,0.01,81.0,27.0,9.1,32.0,Io Interactive,M
713,Crysis,PC,2007.0,Shooter,Electronic Arts,0.0,0.69,0.0,0.02,91.0,56.0,8,1970.0,Crytek,M
719,Yamaha Supercross,Wii,2009.0,Racing,Zoo Digital Publishing,0.05,0.01,0.0,0.01,,,tbd,,Coyote Console,E
727,Cabela's Outdoor Adventures,XB,2005.0,Sports,Zoo Digital Publishing,0.08,0.02,0.0,0.0,,,tbd,,FUN Labs,T
740,Tales of Graces,Wii,2009.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.22,0.0,,,,,,
751,Brink,X360,2011.0,Shooter,Bethesda Softworks,0.59,0.35,0.01,0.09,68.0,85.0,5.8,404.0,Splash Damage,T
756,Crayon Shin-Chan: Densetsu o Yobu Omake no To Shukkugaan!,GBA,2006.0,Action,Banpresto,0.0,0.0,0.07,0.0,,,,,,
760,RoboCop,XB,2003.0,Shooter,Titus,0.01,0.0,0.0,0.0,30.0,9.0,3.6,12.0,Titus Software,M
763,Sky Odyssey,PS2,2000.0,Simulation,Sony Computer Entertainment,0.16,0.12,0.0,0.04,79.0,18.0,8.4,9.0,CAProduction,E
767,Alienators: Evolution Continues,GBA,2001.0,Action,Activision,0.03,0.01,0.0,0.0,54.0,4.0,tbd,,Digital Eclipse,E
775,Rio,PS3,2011.0,Misc,THQ,0.04,0.07,0.0,0.02,65.0,8.0,tbd,,Eurocom Entertainment Software,E10+
783,The Godfather (old US sales),XB,2006.0,Action,Electronic Arts,0.42,0.11,0.0,0.02,,,,,,
786,Nobunaga no Yabou: Souzou,PS4,2014.0,Strategy,Tecmo Koei,0.0,0.0,0.06,0.0,,,,,,
787,Ferrari F355 Challenge,PS2,2002.0,Racing,Sony Computer Entertainment,0.03,0.02,0.0,0.01,70.0,14.0,4.4,5.0,Sega AM2,E
795,The King of Fighters '98: Dream Match Never Ends,PS,1999.0,Fighting,SNK Playmore,0.05,0.03,0.0,0.01,,,,,,
798,Skylanders: SuperChargers,Wii,2015.0,Action,Activision,0.02,0.12,0.0,0.01,,,,,,
802,Momotarou Dentetsu 12,PS2,2003.0,Misc,Hudson Soft,0.0,0.0,0.35,0.0,,,,,,
803,Just Dance 2015,X360,2014.0,Misc,Ubisoft,0.42,0.13,0.0,0.06,,,8.3,6.0,Ubisoft,E10+
805,.hack//G.U. Vol.2//Reminisce,PS2,2006.0,Role-Playing,Namco Bandai Games,0.11,0.09,0.0,0.03,,,,,,
807,Bust-A-Bloc,PS2,2002.0,Puzzle,Midas Interactive Entertainment,0.0,0.0,0.05,0.0,,,,,,
812,Zathura,PS2,2005.0,Adventure,Take-Two Interactive,0.06,0.05,0.0,0.02,43.0,16.0,2,5.0,High Voltage Software,E10+
813,Goosebumps HorrorLand,DS,2008.0,Adventure,Scholastic Inc.,0.29,0.0,0.0,0.02,,,tbd,,SScholastic Media,E10+
816,Amnesia Later,PSV,2014.0,Misc,Idea Factory,0.0,0.0,0.01,0.0,,,,,,
817,J-League Pro Soccer Club o Tsukurou! 6: Pride of J,PSP,2009.0,Sports,Sega,0.0,0.0,0.16,0.0,,,,,,
825,World Series of Poker 2008: Battle for the Bracelets,PSP,2007.0,Misc,Activision,0.02,0.0,0.0,0.0,,,6.5,4.0,Left Field Productions,T
826,We Sing Deutsche Hits,Wii,2011.0,Misc,Nordic Games,0.0,0.29,0.0,0.04,,,,,,
827,Skylanders: SuperChargers,XOne,2015.0,Action,Activision,0.17,0.05,0.0,0.02,76.0,15.0,5.5,17.0,Vicarious Visions,E10+
835,Haitaka no Psychedelica,PSV,2016.0,Adventure,Idea Factory,0.0,0.0,0.01,0.0,,,,,,
840,Squinkies 2: Adventure Mall Surprize!,DS,2011.0,Platform,Activision,0.09,0.0,0.0,0.01,,,,,,
842,Mushroom Men: The Spore Wars,Wii,2008.0,Action,SouthPeak Games,0.16,0.01,0.0,0.01,72.0,37.0,8.7,33.0,Red Fly Studio,E10+
849,The Settlers II 10th Anniversary,PC,2006.0,Action,Ubisoft,0.0,0.02,0.0,0.0,,,,,,
850,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003.0,Misc,Konami Digital Entertainment,0.68,0.25,0.0,0.02,,,,,,
852,Iron Man,PSP,2008.0,Action,Sega,0.46,0.09,0.0,0.09,44.0,7.0,6.5,16.0,Artificial Mind and Movement,T
853,Yoshi's New Island,3DS,2014.0,Platform,Nintendo,0.48,0.53,0.28,0.09,64.0,71.0,6.1,155.0,Arzest,E
854,Jikkyou Powerful Pro Yakyuu '98 Ketteiban,PS,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.25,0.02,,,,,,
857,Nicktoons: Unite!,PS2,2005.0,Adventure,THQ,0.34,0.01,0.0,0.06,,,,,,
858,YoKai Watch Dance: Just Dance Special Version,WiiU,2015.0,Misc,Level 5,0.0,0.0,0.03,0.0,,,,,,
861,Smashing Drive,GBA,2004.0,Racing,Zoo Digital Publishing,0.02,0.01,0.0,0.0,,,tbd,,Raylight Studios,E
865,The Voice,WiiU,2014.0,Action,Activision,0.08,0.0,0.0,0.01,,,,,,
867,Naruto Shippuden: Ultimate Ninja Storm 2,X360,2010.0,Fighting,Namco Bandai Games,0.43,0.27,0.01,0.07,74.0,31.0,8.5,39.0,CyberConnect2,T
877,Hakuouki SSL: Sweet School Life,PSV,2014.0,Adventure,Idea Factory,0.0,0.0,0.05,0.0,,,,,,
880,Minna no Joushiki Ryoku TV,Wii,2008.0,Misc,Nintendo,0.0,0.0,0.08,0.0,,,,,,
900,Ty the Tasmanian Tiger,XB,2002.0,Platform,Electronic Arts,0.14,0.04,0.0,0.01,68.0,13.0,8.5,11.0,Krome Studios,E
904,Dora the Explorer: Journey to the Purple Planet,PS2,2005.0,Adventure,Global Star,0.12,0.09,0.0,0.03,,,7,4.0,Take-Two Interactive,EC
912,Dodge Racing: Charger vs Challenger,Wii,2009.0,Racing,Zushi Games,0.11,0.0,0.0,0.01,,,tbd,,EM Studios,E
917,Murdered: Soul Suspect,PC,2014.0,Action,Square Enix,0.0,0.05,0.0,0.0,59.0,22.0,7.4,379.0,Airtight Games,M
921,Disciples III: Renaissance,PC,2010.0,Strategy,Kalypso Media,0.0,0.01,0.0,0.0,56.0,36.0,5.4,105.0,Akella,T
925,My First Dollhouse,DS,2010.0,Misc,505 Games,0.1,0.0,0.0,0.01,,,tbd,,505 Games,E
929,Pass the Pigs,DS,2008.0,Misc,THQ,0.2,0.0,0.0,0.02,,,,,,
935,Major League Baseball 2K10,PSP,2010.0,Sports,Take-Two Interactive,0.06,0.0,0.0,0.01,,,tbd,,Visual Concepts,E
938,Neverwinter Nights 2: Mask of the Betrayer,PC,2007.0,Role-Playing,Atari,0.0,0.01,0.0,0.0,82.0,25.0,8.8,182.0,Obsidian Entertainment,T
941,Capcom vs. SNK 2 EO,XB,2003.0,Fighting,Capcom,0.08,0.02,0.0,0.0,80.0,26.0,8.7,13.0,Capcom,T
944,Crayon Shin-Chan: Uchuu de Achoo!? Yuujou no Oba-Karate!!,3DS,2011.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,,,,,,
949,Lock On: Modern Air Combat,PC,2003.0,Simulation,Ubisoft,0.0,0.03,0.0,0.01,76.0,20.0,7.5,549.0,Eagle Dynamics,E
950,Armored Core 4,X360,2007.0,Simulation,505 Games,0.19,0.01,0.03,0.02,65.0,31.0,7.2,31.0,From Software,T
